type,text
Ham,শুভ দীপাবলী!
Spam,"আপনার ব্যাংক অ্যাকাউন্টে ৫০,০০০ টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: +8801711234567"
Ham,তোমার লক্ষ্যে পৌঁছাতে ধৈর্য ধরো।
Ham,"তোমার আগে কোনো বই পড়েছি? হ্যাঁ, অনেক বই পড়েছি। তুমি কি?"
Spam,"আড়ং দিচ্ছে ঈদ উপলক্ষে বিশাল অফার ক্লিক করুন 
https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
Spam,"আপনার জন্য ৮500 বিনামূল্যে।
এটি এখানে পান: https://cutt
.ly/betvi"
Ham,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২৪,৫০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ৩০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.iba-du.edu.bd/ লগইন করুন। (IBA)"
Spam,ইংলিশ প্রিমিয়ার লিগে বাজি ধরুন এবং একটি ফ্রি হোটেল বুকিং জিতুন। এখানে ক্লিক করুন: xini.eu/00Qe
Spam,DXN মাল্টিনেশনাল কোম্পানি দিচ্ছে ভাতাসহ উচ্চবেতনে চাকরির সুযোগ। জরুরি যোগাযোগ করুন ০১৭৯৩২৫১০০২
Spam,শাকিব আল হাসানের সাথে একান্ত সাক্ষাতের সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। এখনই শুরু করুন: xini.eu/00Qe
Spam,কোন ডাউন পেমেন্ট ছাড়াই ১০০% গাড়ি লোন সুবিধা। আজই আবেদন করুন। যোগাযোগ: ০১৮৬৭৫৪৬৩৮৯
Spam,আপনার একাউন্টে সমস্যা হয়েছে। দ্রুত এই নাম্বারে যোগাযোগ করুন ০১৭২৮৩৭৫৮৪৩।
Spam,"আপনার জমি বিক্রির টাকা জমা হয়েছে, কল করুন: +8801816677889"
Spam,"১০০'মাদানীএভিনিউ আর্মি হাউজিং(জলসিড়ি)সংলগ্ন প্লট কাঠা৫লক্ষ
01894841729"
Spam,"আপনার হাতে থাকা ফোন টি দিয়ে
কাজ টি করতে পারবেন আমার টিমে 
।২০ জন বিশ্বস্ত লোক চাই। যারা পড়াশোনা কিংবা চাকরির পাশাপাশি হালাল ভাবে দৈনিক ৫০০/১০০০টাকা ইনকাম করতে পারবেন যারা৷আগ্ররহী  তারা ইনবক্সে আসুন
সব কিছুই শিখিয়ে দেবো কোন সমস্যা নেই ইনশাআল্লাহ"
Spam,বোনাস সহ ২জিবি-৪৫টাকা-৩দিন। ডায়াল *১২১*৫৫৩৪# বা mygp.li/my
Spam,আপনি একটি লাকি ড্রয়ে জিতেছেন! আপনার পুরস্কার সংগ্রহ করতে এখানে ক্লিক করুন: [luckydraw.com/ClaimBD]
Spam,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [secureemail.com/VerifyBD]
Spam,শাকিব আল হাসানের সাথে একান্ত সাক্ষাতের সুযোগ পেতে ক্রিকেটে বাজি ধরুন! ক্লিক করুন: xini.eu/00Qe
Spam,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳,৩০দিন,নিয়ে নাও: cutt.ly/2wQlYv6U"
Spam,বিশেষ অফার: সব বাচ্চাদের পোশাকে ২০% ডিসকাউন্ট।
Spam,"ইউরোপীয় চ্যাম্পিয়নশিপে বাজি ধরুন এবং ২০,০০০ টাকা ক্যাশব্যাক জিতুন। যোগ দিন: smilesvoegol.servebbs.org/voegol.php"
Spam,আপনার ক্রেডিট কার্ডের লিমিট বাড়ানোর জন্য কল করুন +8801812233445
Ham,শুভ বিজয়া দশমী!
Spam,আপনার ব্যাংক অ্যাকাউন্টের নোটিফিকেশন পাওয়া যাচ্ছে না। দয়া করে এখানে ক্লিক করুন: http://bit.ly/UpdateNotify
Spam,"প্রো-লেভেল ইন্টারনেটিংয়ে পকেট সেভিং- ৩জিবি@৳৯৮,৭ দিন cutt.ly/9wEyjoLc"
Spam,ফ্ল্যাট ১৫% ডিসকাউন্ট সব শপিংয়ে। কোড: DISCOUNT15.
Spam,"Hot wallet টোকেন দিয়ে দিয়েছে 1 টোকেন $5.00
যারা অল্প সময়ে বেশি ইনকাম করতে চান, এখনই জয়েন করুণ
Link:
https://t.me/herewalletbot/app?startapp=12940707"
Spam,বাংলাদেশ ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801918899001
Spam,স্থিতিশীল কাজ। বেতন 1500 BDT/দিন। ঘরে বসে কাজ: cutt.ly/U6zMFGQ
Spam,"শেখ হাসিনা সরকারের সাফল্য:
২০০৮ সালে এক এমবিপিএস ইন্টারনেট ব্যান্ডউদথের মূল্য ছিল ২৭ হাজার টাকা বর্তমানে একদেশ একরেটের আওতায় তা ৬০ টাকায় নির্ধারিত হয়েছে।"
Spam,শাকিবের সাথে একদিন কাটানোর সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/
Ham,"তুমি অনেক শক্তিশালী, সাহস রেখো।"
Spam,শাকিব আল হাসানের সাথে ফ্রি ম্যাচ টিকিট জিততে আজই আইপিএলে বাজি ধরুন। যোগ দিন: ebayisapidlld.altervista.org/
Spam,নতুন লাইফস্টাইল প্রোডাক্টে ২৫% ছাড়! স্টক শেষ হওয়ার আগে সুযোগ নিন।
Spam,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।
Spam,আপনার ক্রেডিট কার্ডের সীমা বৃদ্ধি করতে এখানে ক্লিক করুন: [increasecredit.com/LimitBD]
Spam,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
Ham,দুপুরে একটি ব্রাউন করতে গিয়েছি।
Spam,বাংলাদেশ ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801819899901
Ham,০১৭৩৮২৯৩৭৬৫ এই নাম্বারে রকেটে টাকা পাঠান।
Ham,"তোমার পাশে আছি, কোনো চিন্তা কোরো না।"
Spam,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। কল করুন: +8801911011123
Spam,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি.,৩০দিন: cutt.ly/2wQlYv6U"
Spam,আপনার ক্রেডিট কার্ডের বিল পেমেন্ট মিস হয়েছে। এখানে ক্লিক করে পেমেন্ট করুন: http://bit.ly/PayBill
Ham,"সব কিছু ঠিক হয়ে যাবে, ধৈর্য ধরো।"
Ham,শুক্রবার কি প্ল্যান?
Ham,"তুমি যা করতে পারো, তা অসাধারণ।"
Ham,"কি খবর, কেমন আছো?"
Spam,"৳৩৫ ক্যাশব্যাকে এবার আরো বেশি ডাটা ৫০জিবি@৳৪৬৩, ৩০দিন cutt.ly/HwOETkke"
Spam,ক্রিপ্টো ট্রেডিং এ বিশেষ অফার! এখনই লগইন করুন: http://bit.ly/CryptoDeal
Spam,"যদি আপনার হাতে দিনের ১/২ ঘন্টা ফ্রি সময় থাকে তাহলে জানাবেন।আপনাকে কিছু প্রসেস দেখিয়ে দিবো আপনি সেখান থেকে ইনকাম করতে পারবেন।
তাহলে এখনি Hi বলুন।."
Spam,"২,০০০ টাকা বিনিয়োগ করুন এবং ৫ মিনিটে ৪,০০০ টাকা পান! কল করুন: +8801714567890"
Spam,আপনার সঞ্চয় দ্বিগুণ করুন! এখনই কল করুন: +8801919876543
Spam,"৩৫জিবি+৮০০মিনিট-৬০০টাকা-৩০দিন(বোনাসসহ), নিতে *১২১*৫২৬২# বা mygp.li/a8"
Spam,বড়দিনের শুভেচ্ছা। থাকছে ২৫% ছাড় ৩১ ডিসেম্বর পর্যন্ত । ০১৭১৩১৯৯২৭০
Ham,শুভ নভেম্বর!
Spam,মাশরাফির সাথে একান্ত সাক্ষাতের সুযোগ পেতে বিপিএলে বাজি ধরুন। এখনই শুরু করুন: ebayisapidlld.altervista.org/
Spam,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
Ham,আমি আমার পরিবারের সঙ্গে একটি নতুন সময় পালন করতে চাই।
Ham,আমি যে অনেক দুঃখ এবং কারণ পেয়েছি সেটি হল বিশেষ সময় সম্পর্কে আমি আবার বলতে চাই।
Spam,বোনাস সহ ৮জিবি-১২০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫০৭২# বা https://mygp.li/mo
Ham,বাড়ির পাশে একটি মেজবান রাখা হয়।
Spam,ডিজিটাল গ্যাজেটের উপর ১৫% ডিসকাউন্ট! আজই কেনাকাটা করুন এবং বোনাস পান।
Spam,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
Spam,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
Spam,শাকিবের সাথে ফ্রি ম্যাচ টিকিট জিততে ক্রিকেটে বাজি ধরুন! শুরু করুন: promusic.co/components/interbank.com/
Ham,তুমি কি স্কুলে যাচ্ছো?
Spam,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@ ৳৬৯৯, ৩০দিন cutt.ly/FwQhpKHc"
Ham,তোমার এখন কি কাজ হচ্ছে?
Spam,বিটকয়েন নিয়ে বিশেষ অফার! এখনই লগইন করুন: http://bit.ly/BitcoinOffer
Ham,কোথায় যাচ্ছো?
Spam,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@৳৬৯৯, ৩০দিন cutt.ly/FwQhpKHc"
Spam,সোনালী ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801813233345
Spam,"https://t.me/DailyEarn_Money_bot?start=r08368814246
উপরে দেওয়া লিং এ ক্লিক করে ডেলি ২০০ থেকে ৩০০ টাকা ইনকাম করতে চাইলে এখনি ক্লিক করুন"
Spam,আপনার ডেবিট কার্ডের পিন রিসেট করতে কল করুন +8801914455667
Spam,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
Spam,"প্রিয় গ্রাহক, 8990 টাকা। K Enterprice ds POS/ECOM.Txn# এ 23-02-2020 তারিখে XX কার্ডে txn করা হয়েছে। আপনার দ্বারা করা হয়নি, নিবন্ধিত মোবাইল এনবি থেকে এই এসএমএসটি ফরোয়ার্ড করুন। 18604195555"
Spam,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। লগইন করে যাচাই করুন: [secureverify.com/VerifyBD]
Spam,"পূর্বাচল ৩০নং সেক্টর সংলগ্ন ভরাট চলমান প্লট! কাঠা ১.৬লক্ষ
01894841736"
Ham,"ক্ষমতা হলো সূর্যের আলোর মতো, তাতে কেউ আলোকিত হয় আবার কেউ পুড়ে শেষ হয়ে যায়।"
Spam,বোনাস সহ ৩জিবি-৬০টাকা-৩দিন। ডায়াল *১২১*৫৬৯৯# বা https://mygp.li/mo
Spam,জনতা ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: https://t.me/JanataActivateBot
Ham,আমি এখন কি বলতে পারি না।
Ham,"সব ঠিক হয়ে যাবে, চিন্তা কোরো না।"
Spam,হোম অ্যাপ্লায়েন্সের উপর ২৫% পর্যন্ত ছাড়! অফার শেষ হওয়ার আগে সুযোগ নিন।
Ham,০১৯২৭২৮৩৮৭১ এই নাম্বারে রকেটে ৫০০ টাকা পাঠান।
Spam,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
Ham,তোমার প্রতিভা অসাধারণ।
Spam,আপনার মোবাইল নম্বরটি আইফোন জিতেছে! পুরস্কার পেতে কল করুন +8801813344556
Ham,তুমি কখন আসতে পারবো? আমি আপনার পাশে রয়েছি।
Ham,"হ্যালো, কি খবর?"
Spam,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@৳৬৯৯, ৩০দিন cutt.ly/FwQhpKHc"
Spam,আপনি আমাদের ভাগ্যবান গ্রাহক! আপনার বিনামূল্যের ১ বছরের ইন্টারনেট সাবস্ক্রিপশন দাবি করুন। কল করুন 019XXXXXXXX।
Spam,"জরুরি নিয়োগ,  থাকা খাওয়ার সুবিধাসহ ৩০,০০০ টাকার বেতন/ সেলারি  যোগাযোগ ০১৭২৭৮২৭৮২৬"
Ham,একটা গল্প বলো। একবারে।
Ham,"তুমি একা নও, আমরা সবাই তোমার পাশে আছি।"
Spam,"২০০৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@৳৬৯৯, ৩০দিন: cutt.ly/FwQhpKHc"
Spam,100+ মোবাইল গেম খেলতে এবং প্রতিদিন 25 কোটি টাকা পর্যন্ত নগদ পুরস্কার জিততে  বৃহত্তম সামাজিক গেমিং অ্যাপ ডাউনলোড করুন।
Spam,অফার: সব গ্রোসারিতে ১০% ক্যাশব্যাক। শুধু আজকের জন্য।
Ham,"তুমি একা নও, আমরা আছি তোমার পাশে।"
Ham,ভাইয়া ভর্তির জন্য কি বাবার আয়ের সনদ দিতেই হয়??  বলবেন একটু
Spam,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন
Spam,"মে-২৪
রিচার্জ:0৳
খরচ:
ডেটা:287৳
ভয়েস:101৳
অন্যান্য:0৳"
Ham,কেমন আছেন?
Spam,শুধু মোবাইল থাকলে আপনিও পারবেন মাসে কমপক্ষে ১৫০০০-২০০০০ টাকা আয় করতে। বিস্তারিত জানতে ০১৭৮৩৬২৭২৮৪
Spam,"আপনার মোবাইল নম্বরটি ১০,০০০ টাকা লটারি জিতেছে! বিস্তারিত জানতে কল করুন +8801712345678"
Spam,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
Spam,"বেকার যুবক, যুবতী, গৃহিণী, রিটায়ার্ড ব্যক্তিদের জন্য ঘরে বসে অনলাইনে স্বল্প সময়ে প্রচুর টাকা উপার্জন করার সুবর্ণ সুযোগ"
Spam,মোবাইল দিয়ে টাকা ইনকাম করুন! নতুন উপায় 2023 সালের জন্য। বিস্তারিত জানতে যোগ দিন: https://t.me/Poolsclub
Spam,বোনাস সহ ৩জিবি-৬০টাকা-৩দিন। ডায়াল *১২১*৫৬৯৯# বা https://mygp.li/mo
Spam,"৳১০০ ক্যাশব্যাকে প্রোলেভেল ডিল-১০০জিবি@৳৬৯৮,৩০দিন cutt.ly/AwQzYxAf"
Ham,আমি স্বাস্থ্য মনে হয় এবং আমার শরীর ভালো মনে হয়।
Ham,০১৮২৭২৮১৭৩৯ এই নাম্বারে রকেটে ৫০০ টাকা দাও।
Spam,"১৫০৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@ ৳৭৪৯, ৩০দিন: cutt.ly/NwYKElsc"
Spam,আপনার ব্যাংক অ্যাকাউন্টে অজানা লেনদেন সনাক্ত করা হয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: http://bit.ly/UnknownTxn
Spam,আপনার সঞ্চয় দ্বিগুণ করার সুযোগ! কল করুন: +8801712122234
Spam,বড়দিনের শুভেচ্ছা। থাকছে ২৫% ছাড় ৩১ ডিসেম্বর পর্যন্ত । ০১৭১৩১৯৯২৭০
Spam,"হ্যালো, আমার নাম ALIYE। আপনাকে বিরক্ত করার জন্য দুঃখিত। আমি Amazon.com এর মানবসম্পদ বিভাগ। আমি কি আপনার কয়েক মিনিট সময় নিতে পারি?
দুপুর আড়াইটা
আমাদের কোম্পানী আপনাকে একটি খণ্ডকালীন চাকরি প্রদান করতে পেরে খুশি যা আপনি আপনার অবসর সময়ে করতে পারেন, তাই আমাদের প্রচুর সংখ্যক সমবায় কর্মী নিয়োগ করতে হবে (কোনও ফি এবং বিনিয়োগ নেই)। এই কাজটি সহজ এবং নমনীয় এবং আপনার বর্তমান চাকরিতে হস্তক্ষেপ করবে না। পরে আপনি দিনে মাত্র 5-10 মিনিটে সহজেই 300-1200TK উপার্জন করতে পারবেন। আপনি কি এই চাকরিতে আগ্রহী?"
Spam,"১০০'মাদানীএভিনিউ আর্মি হাউজিং(জলসিড়ি)সংলগ্ন প্লট কাঠা৫লক্ষ
01894841729"
Spam,সবার পছন্দের বার্গার নিয়ে বার্গার কিং এখন ধানমন্ডি ২৭ এ। দেরি না করে আকর্ষনীয় সব অফার উপভোগ করতে চলে আসুন বার্গার কিং এ। হোম ডেলিভারি পেতে কল করুন ১৬৬০৬
Ham," তারা আমাদের ভাই-বোনদের মৃত্যুর ভয় দেখিয়ে দমিয়ে রাখতে চায়, অথচ আমাদের পেছনে রয়েছে বদর, খন্দক, তাবুকের মতো শত শত স্মৃতি। - [কবি আল মাহমুদ]"
Spam,"২০০৳ ক্যাশব্যাক!৬০জিবি+১০০০মিনিট @৬৯৯৳ ৩০দিন,নিয়ে নাও- cutt.ly/aAhiAsI
"
Spam,বোনাস সহ ৪জিবি-৬৬টাকা-৭দিন।ডায়াল *১২১*৫০৪৭# বা https://mygp.li/mo
Ham,০১৬৭২৫৭৩৮৪৮ নাম্বারে কল করুন।
Spam,"মানবাধিকার দিবস-২০২৩
এবারের প্রতিপাদ্য “সবার জন্য স্বাধীনতা, সমতা এবং ন্যায়বিচার”। জাতীয় মানবাধিকার কমিশন।"
Spam,জনতা ব্যাংক থেকে জরুরি বার্তা। কল করুন: +8801719900112
Spam,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
Spam,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
Ham,শুভ ঈদ-উল-ফিতর!
Spam,bKash অ্যাকাউন্ট পুনরায় চালু করতে এখানে ক্লিক করুন: https://wa.me/8801712122234
Spam,আপনার অ্যাকাউন্ট সুরক্ষার জন্য এখানে লগইন করুন: [accountsecure.net/LoginBD]
Spam,"বাড়ির ডেকোর আইটেমে ২০% ছাড়। স্টক সীমিত, দেরি করবেন না।"
Ham,"তুমি অনেক শক্তিশালী, সাহস রেখো।"
Spam,থ্যালাসেমিয়া রোগ  থেকে বাঁচতে বিয়ের আগে রক্ত পরীক্ষা করিয়ে নিন । রোগী ও বাহক কিংবা বাহকে বাহকে বিয়ে নয়-বাংলাদেশ থ্যালাসেমিয়া সমিতি।
Ham,তোমার লক্ষ্যে পৌঁছাতে ধৈর্য ধরো।
Spam,"৫,০০০ টাকা বিনিয়োগে ২০,০০০ টাকা পান! কল করুন: +8801918899001"
Spam,"🔥Allready Listed🔥 
600k হলেই Withdraw ✅💸
600k = 7.8 usdt 😛
যারা যারা মিস করেছেন এখনও সুযোগ আছে।Pepe🔥🔥  অলরেডি লিস্টেড উড্রো হচ্চে।
দেরি না করে এখনি মাইনিং শুরু করে দিন 🔥
https://t.me/pepe_miner_game_bot?start=5825648889"
Spam,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
Spam,"শেখ হাসিনা সরকারের সাফল্য: 
২০০৬ সালে সরকারি ওয়েবসাইট ছিল মাত্র ৯৮টি। ২০২৩ সালে তা বেড়ে দাঁড়িয়েছে ৫২ হাজার ২০০টি।"
Spam,আপনার ব্যাংক অ্যাকাউন্টের পাসওয়ার্ড পরিবর্তন করুন। অনুগ্রহ করে এখানে ক্লিক করুন: http://bit.ly/ChangePassword
Ham,"হ্যালো, কেমন আছেন আপনি?"
Ham,০১৯২৭২৮২৮৯৩ এই নাম্বারে দ্রুত টাকা পাঠাও।
Spam,অফার: সব ইলেকট্রনিক্সে ১০% ক্যাশব্যাক। কোড: ELEC10.
Ham,তোমার প্রিয় বই কোনটা?
Ham,তুমি কি পার্কে যাচ্ছো?
Spam,ইংলিশ প্রিমিয়ার লিগে বাজি ধরুন এবং একটি ফ্রি হোটেল বুকিং জিতুন। এখানে ক্লিক করুন: xini.eu/00Qe
Spam,"১৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৮০জিবি@৳৬৯৯,৩০দিন: cutt.ly/lwMwLrfw"
Spam,আপনার ব্যাংক অ্যাকাউন্টের বিবরণ আপডেট করুন। দয়া করে এখানে লগইন করুন: http://bit.ly/AccountUpdate
Spam,বাংলাদেশ ব্যাংক থেকে একটি জরুরি বার্তা এসেছে। কল করুন: +8801914567890
Spam,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
Spam,নতুন সিম নিন এবং বিনামূল্যে ৫০GB ইন্টারনেট পান! ক্লিক করুন: https://ak76.xyz/?y=ep1669102548
Spam,বড় ডিসকাউন্ট! শীতের পোশাকে ৩০% ছাড়। আজই ভিজিট করুন আমাদের স্টোরে!
Ham,"তোমার সামর্থ্য সীমাহীন, সামনে এগিয়ে যাও।"
Spam,"১৫,০০০ টাকা বিনিয়োগে ৪৫,০০০ টাকা অর্জন করুন! কল করুন: +8801913233345"
Ham,কেমন আছো?
Spam,"আড্ডা+ইন্টারনেটিংয়ে নতুন ডিল ১০জিবি+২৫০মি@২৫৮৳,৩০দিন cutt.ly/wwCctHGF"
Spam,"ঘরে বসে অনেক ভাবে ইনকাম করা যায়। যেমন কেউ ইউটিউবে ভিডিও তৈরি করে কেউ ব্লক তৈরি করে কেউ রিভিউ দেয় ইত্যাদি করে ইনকাম করা যায়। যদি আপনি এগুলা করতে না পারেন আরো সহ্জ পদ্ধতিতে দিতে ইনকাম করতে পারেন। এই অ্যাপসটা থেকে আমি অনেক টাকা ইনকাম করেছি। মাত্র ৫০ টাকা হলেই টাকা বিকাশে উইড্রো করা যায়। ভালো লাগলে অন্যদের সাথেও শেয়ার করুন আর নিচের দেয়া লিংক থেকে অ্যাপসটি ডাউনলোড করে নিবেন।

বি: দ্রষ্টব্য: গেমটি ডাউনলোড হতে একটু সময় লাগে তাই ধৈর্য ধরে Download দিয়ে রাখুন।

Join MSL to play exciting games online and WIN real CASH daily. Download MSL APP Now

https://refer.mslgames.com/YfrcqEcoToos53HN7"
Ham,সব কিছু ঠিক হয়ে যাবে।
Spam,bKash অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: +8801718899001
Ham,এই যাত্রার জন্য বাড়িতে আসতে চাই।
Spam,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।
Spam,"PLC,LIMITED.

প্রিয় আবেদনকারী, অভিনন্দন!

আপনার সিভি নির্বাচিত হয়েছে। পজিশনের নাম - কাস্টমার সার্ভিস/ইউনিট ম্যানেজার (ডেভ..) (পার্ট টাইম / ফুল টাইম)। যদি আপনি কাজটিতে আগ্রহী হন তবে অবশ্যই সিভি এবং পাসপোর্ট সাইজের ৪ কপি ছবি নিয়ে আসতে হবে।

কাজের স্থান - আপনি ঢাকা শহরের যেকোনো শাখা অফিস বেছে নিতে পারবেন।

সাক্ষাত্কারের তারিখ - ১৪ নভেম্বর ২০২৩ (১০.০০am - ০৪.০০pm)

যোগাযোগের ঠিকানা - ১৬৬, দিলকুশা, মতিঝিল, ঢাকা ১০০০।

বিস্তারিত জানার জন্য কল করুন: ০১৬১৩৫৮৯১৩৭"
Spam,bKash অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। দ্রুত সমাধানের জন্য কল করুন: +8801917677789
Spam,আপনার মোবাইল নম্বরটি আইফোন জিতেছে! পুরস্কার পেতে কল করুন +8801813344556
Spam,আপনার ব্যাংক একাউন্ট ভেরিফাই করতে কল করুন +8801812233445
Ham,আমি যেন খুব দুঃখিত হইছি।
Spam,এই মেসেজটি শেয়ার করুন এবং জিতে নিন আকর্ষণীয় পুরস্কার!
Spam,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে ২০০ টাকা জিতুন!
Ham,ট্রানজ্যাকশন নম্বর R234321.1554.640085 20 টাকা রিচার্জটি সফল হয়েছে। আপনার বর্তমান ব্যালেন্স 220.01 টাকা। নতুন মেয়াদ 11/03/24পর্যন্ত
Spam,নতুন অফার! সীমিত সময়ের জন্য পণ্যের উপর ৯০% পর্যন্ত ছাড়!
Ham,নববর্ষের শুভেচ্ছা!! আল্লাহ আপনার সকল কষ্ট দূর করে আপনার জীবনকে আলোকিত করুন।
Spam,আপনার ইমেইল যাচাই করুন এবং ২০০০ টাকা বোনাস জিতুন!
Spam,নতুন গ্যাজেট কিনুন এবং ১০% ক্যাশব্যাক পান!
Spam,আপনার মোবাইল রিচার্জ করুন এবং ১৫% ক্যাশব্যাক পান!
Spam,বিশেষ ছাড়! সব পণ্যের উপর ৯৫% পর্যন্ত ডিসকাউন্ট!
Spam,আজই ক্লিক করুন এবং ৫০০০ টাকা জিতুন!
Spam,আপনার মোবাইল নম্বর দিন এবং আকর্ষণীয় পুরস্কার জিতুন!
Spam,বিশেষ ছাড়! সীমিত সময়ের জন্য ৮০% পর্যন্ত ডিসকাউন্ট!
Spam,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে ৩০০ টাকা জিতুন!
Spam,আজই সাইন আপ করুন এবং ৩০০০ টাকা বোনাস পান!
Spam,বিশেষ অফার! ৭০% পর্যন্ত ছাড়!
Spam,আপনার মোবাইল রিচার্জ করুন এবং ২০% ক্যাশব্যাক পান!
Spam,"নতুন গ্রাহকদের জন্য বিশেষ অফার, এখনই উপভোগ করুন!"
Spam,মোবাইল অ্যাপ ডাউনলোড করুন এবং ১০০০ টাকা বোনাস পান!
Spam,প্রতিদিন ৫০০ টাকা জিততে চান? এখনই অংশগ্রহণ করুন!
Spam,বিশেষ ছাড়! ৪৮ ঘন্টার মধ্যে অর্ডার করুন এবং ২৫% ডিসকাউন্ট পান!
Spam,আপনার ইমেইল যাচাই করুন এবং ৫০০ টাকা বোনাস জিতুন!
Spam,নতুন গ্যাজেট কিনুন এবং ২০% ক্যাশব্যাক পান!
Spam,আপনার মোবাইল রিচার্জ করুন এবং ২৫% ক্যাশব্যাক পান!
Spam,বিশেষ ছাড়! সব পণ্যের উপর ৮৫% পর্যন্ত ডিসকাউন্ট!
Spam,আজই ক্লিক করুন এবং ১০০০০ টাকা জিতুন!
Spam,বিশেষ ছাড়! সীমিত সময়ের জন্য ৭০% পর্যন্ত ডিসকাউন্ট!
Spam,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে ৪০০ টাকা জিতুন!
Spam,নতুন অফার! মাত্র ১৯৯ টাকায় পান ১ বছরের সাবস্ক্রিপশন!
Spam,আজই সাইন আপ করুন এবং ৪০০০ টাকা বোনাস পান!
Spam,বিশেষ অফার! ৬০% পর্যন্ত ছাড়!
Spam,আপনার মোবাইল রিচার্জ করুন এবং ৩০% ক্যাশব্যাক পান!
Spam,মোবাইল অ্যাপ ডাউনলোড করুন এবং ১৫০০ টাকা বোনাস পান!
Spam,বিশেষ ছাড়! সব পণ্যের উপর ৮০% পর্যন্ত ডিসকাউন্ট!
Spam,প্রতিদিন ৭০০ টাকা জিততে চান? এখনই অংশগ্রহণ করুন!
